brightness,contrast,hue,saturation,warmth,colourfulness,file,group
0.26607566206729605,0.2527399722175633,0.024074840936693022,0.7491947667315157,0.32511413217138707,0.20917137259800087,IMG_20240611_174619.jpg,02_Warm_Earth
0.2786352627136941,0.1352639772778505,0.06914237642557769,0.6073086755734224,0.2614844256020727,0.07019109969777838,IMG_20200419_175604.jpg,02_Warm_Earth
0.2854413193328333,0.24107395531527476,0.0982959413723972,0.4238775816961449,0.12352651880424301,0.23423120284019905,275635163_329862309167906_1766172622988324282_n.webp,02_Warm_Earth
0.28796593560881145,0.18739824533591382,0.019978781072136822,0.4046940799587928,0.10406687000726215,0.17929046724379724,IMG_20230827_225057.jpg,02_Warm_Earth
0.2892880561607359,0.20891051052930695,0.0472355184360134,0.38941808675672596,0.11413374001452432,0.2025762344540122,IMG_20230831_224144.jpg,02_Warm_Earth
0.2916609680645686,0.23996862802404081,0.10495588910106916,0.8181058191121134,0.4236776684576558,0.1504859039813626,IMG_20210608_175432.jpg,02_Warm_Earth
0.2979411111111111,0.1541105167653103,0.12231239436870825,0.2765151752640755,0.05757581699346405,0.1482352622250303,Madonna-copy-2.jpg,02_Warm_Earth
0.3108546589576001,0.17609613755103687,0.07198794831806161,0.20699261954712542,0.027213298139768725,0.17529514596078755,IMG_6018.JPG,02_Warm_Earth
0.3250233426704015,0.12024117954882341,0.12086890170744252,0.31034891514065266,0.1224452447645725,0.10599122311096514,FIMaMFXWYAoI5GX.jpeg,02_Warm_Earth
0.3257593739250086,0.15648484900644355,0.10804871965552199,0.17015456945695673,0.04902172915950006,0.1548555242275236,Leon+Spilliaert.jpg,02_Warm_Earth
0.33191423384168484,0.2746505255510498,0.08187303004654926,0.8293348277805866,0.4804526688453159,0.17706625749117735,277911126_726148745425768_7619526445872976090_n.jpg,02_Warm_Earth
0.3399214596949891,0.20638090105690796,0.0666216638799214,0.4566949075181009,0.17090764705882353,0.1933482557884847,IMG_20190926_194824.jpg,02_Warm_Earth
0.35415098753526913,0.18753271999714327,0.09469456028536553,0.42850838669208746,0.16996721311475407,0.17309882076849015,"Edward_Hopper,_New_York_Interior,_c._1921_1_15_18_-whitneymuseum_(40015892594).jpg",02_Warm_Earth
0.36320531590413946,0.40247922069071795,0.097159240540229,0.6836431329392487,0.022695686274509803,0.40234542495537645,me.jpg,02_Warm_Earth
0.3841982441891944,0.21034391769945074,0.0683176417271507,0.29108444336922834,0.075167343465986,0.20802149181203552,IMG-20260628-WA0014~2.jpg,02_Warm_Earth
0.4108852287581699,0.1666640183544787,0.07650534864802244,0.47273635348719956,0.07069182280319534,0.16193090212184177,PXL_20260702_191042569.jpg,02_Warm_Earth
0.42351077811431703,0.26237006795606027,0.08106885216448252,0.29519109159946433,0.06452239757691695,0.26092562908990885,Ctumblr_maqyep7R4g1ql3umeo1_1280.jpg,02_Warm_Earth
